gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
BAX,1.27786489283074,10.8029185803758,16.8581908317559,2.13029031452842e-50,4.51621546680025e-49,103.375660949268,Up_LIHC
HSP90AB1,1.12172973638829,15.1805845511482,14.7889272790223,4.95291213422464e-41,7.50012408896874e-40,81.867672087056,Up_LIHC
PYCARD,1.63052394678492,8.58450939457203,10.3268055526705,1.05053390214972e-22,6.95978710174192e-22,39.8808211080838,Up_LIHC
PPARG,1.06711071692536,9.23654488517745,9.89625764967636,3.92732495915403e-21,2.25025105767744e-20,36.2888814142114,Up_LIHC
MMP1,2.35580736634639,4.09607139874739,9.21988034839884,9.47383296418044e-19,4.89866484977135e-18,30.8534943234095,Up_LIHC
LY96,1.63606223207687,7.11022129436326,9.13506859955244,1.85053529611445e-18,9.34079720895864e-18,30.1906838086049,Up_LIHC
MMP9,1.90818755851196,7.87446346555324,8.00470320132637,9.14514561222162e-15,4.03910597873121e-14,21.7843743374431,Up_LIHC
ABCG1,1.1042664942104,8.72110438413361,7.95241985515255,1.3289723267709e-14,5.74983945460064e-14,21.4156699214079,Up_LIHC
CD36,1.33816881005175,10.4288830897704,7.59830920249237,1.59248332775287e-13,6.13829937242924e-13,18.9677219650807,Up_LIHC
IKBKE,1.12124594727766,7.44414822546973,7.42080183264901,5.35561492388027e-13,1.89231727310436e-12,17.7735225022328,Up_LIHC
VCAM1,1.37193192904658,9.3462108559499,6.85877989363767,2.15398236310188e-11,6.52348944253712e-11,14.1422692368857,Up_LIHC
PIK3R2,1.40090923872875,1.85887912317328,5.25482398531085,2.2353892951227e-07,4.73902530566012e-07,5.11599879129527,Up_LIHC
